Country,HealthcareScore,TransportSafety,LGBTQSafety,WomensSafety,CrimeSafety,PoliticalStability,Currency,Language,EmergencyPolice,EmergencyMedical,EmergencyFire,TravelAdvisory
Japan,95,99,85,92,85,98,JPY (¥),Japanese,110,119,119,Exercise normal precautions. Be aware of earthquakes and typhoons.
Iceland,94,96,97,96,95,99,ISK (kr),Icelandic,112,112,112,Exercise normal precautions. Winter weather can affect road conditions.
Switzerland,96,97,90,94,92,97,CHF (Fr),"German, French, Italian, Romansh",117,144,118,Exercise normal precautions. Be prepared for mountain weather changes.
Singapore,93,98,75,91,94,95,SGD ($),"English, Mandarin, Malay, Tamil",999,995,995,Exercise normal precautions. Strict laws on drugs and public behavior.
Canada,92,93,95,93,88,96,CAD ($),"English, French",911,911,911,Exercise normal precautions. Be prepared for extreme winter conditions in some regions.
Australia,91,94,93,92,87,95,AUD ($),English,000,000,000,"Exercise normal precautions. Be mindful of heat, bushfire risk, and marine hazards."
New Zealand,90,94,92,93,88,96,NZD ($),"English, Māori",111,111,111,Exercise normal precautions. Be aware of changing weather in outdoor areas.
Germany,93,95,88,91,86,94,EUR (€),German,110,112,112,Exercise normal precautions. Be aware of petty crime in tourist areas.
France,92,92,90,88,80,89,EUR (€),French,17 or 112,15 or 112,18 or 112,Exercise normal precautions. Be aware of demonstrations and pickpocketing in cities.
United Kingdom,90,93,94,90,82,90,GBP (£),English,999 or 112,999 or 112,999 or 112,Exercise normal precautions. Be aware of petty crime in crowded urban areas.
United States,82,88,80,83,70,85,USD ($),English,911,911,911,Exercise increased caution in some areas due to crime. Check local guidance.
Spain,93,94,94,90,82,90,EUR (€),Spanish,091 or 112,061 or 112,080 or 112,Exercise normal precautions. Petty theft can occur in tourist hotspots.
Italy,90,90,86,87,78,85,EUR (€),Italian,112,118,115,Exercise normal precautions. Beware of pickpocketing in major cities and tourist areas.
United Arab Emirates,89,94,45,86,90,95,AED (د.إ),Arabic,999,998,997,Exercise normal precautions. Respect local laws and cultural norms.
Thailand,80,78,82,80,72,78,THB (฿),Thai,191,1669,199,Exercise increased caution in some areas. Be careful with road traffic and scams.
Brazil,75,70,70,68,55,72,BRL (R$),Portuguese,190,192,193,Exercise increased caution due to crime. Avoid walking alone at night in some areas.
India,70,72,65,60,60,78,INR (₹),"Hindi, English, and others",112 or 100,108 or 102,101,"Exercise increased caution in some regions. Be mindful of traffic, pollution, and crowds."
